Date,AAPL,ADBE,AMZN,CRM,GOOGL,INTC,META,MSFT,NVDA,ORCL
2021-03-15,120.76570892333984,447.5899963378906,154.08399963378906,210.24545288085938,101.87996673583984,58.01780700683594,271.85101318359375,225.31417846679688,13.158085823059082,63.249412536621094
2021-03-16,122.30463409423828,450.5400085449219,154.59300231933594,211.90528869628906,103.34039306640625,58.91822052001953,277.34271240234375,228.09693908691406,13.257834434509277,62.427616119384766
2021-03-17,121.51569366455078,451.010009765625,156.7864990234375,210.56161499023438,103.25757598876953,59.8277473449707,282.03985595703125,227.45399475097656,13.307707786560059,61.83929443359375
2021-03-18,117.39569091796875,439.17999267578125,151.39950561523438,206.96531677246094,100.23853302001953,57.96323776245117,276.6872863769531,221.3896026611328,12.69051456451416,62.32489013671875
2021-03-19,116.86973571777344,441.5,153.7480010986328,209.6526641845703,100.5172119140625,57.99052429199219,288.0975646972656,221.03457641601562,12.813453674316406,61.87666320800781
2021-03-22,120.18131256103516,452.4100036621094,155.5435028076172,212.58700561523438,100.70219421386719,59.69131088256836,291.5037536621094,226.4464569091797,13.153099060058594,61.93268966674805
2021-03-23,119.35342407226562,460.20001220703125,156.875,212.41903686523438,101.22982788085938,57.735862731933594,288.61395263671875,227.97215270996094,13.037888526916504,62.8198356628418
2021-03-24,116.96712493896484,451.510009765625,154.35350036621094,207.01473999023438,100.79344177246094,56.42617416381836,280.1828918457031,225.9379119873047,12.611213684082031,62.40896224975586
2021-03-25,117.45413208007812,450.989990234375,152.31300354003906,202.97381591796875,100.78997039794922,56.40797424316406,276.8064270019531,222.94407653808594,12.503734588623047,64.08985900878906
2021-03-26,118.05799865722656,469.0899963378906,152.60150146484375,206.5800018310547,100.40665435791016,59.00008010864258,281.05670166015625,226.91665649414062,12.80697250366211,65.60269927978516
2021-03-29,118.23332977294922,469.32000732421875,153.7864990234375,208.23985290527344,101.45100402832031,58.66355895996094,288.8026123046875,225.72679138183594,12.915698051452637,66.42448425292969
2021-03-30,116.78206634521484,465.4599914550781,152.76449584960938,207.4790802001953,101.48472595214844,57.99961853027344,286.002197265625,222.473876953125,12.839387893676758,65.88285064697266
2021-03-31,118.97354888916016,475.3699951171875,154.70399475097656,209.3266143798828,102.2806396484375,58.20881271362305,292.48681640625,226.23536682128906,13.314692497253418,65.52799987792969
2021-04-01,119.80143737792969,483.3399963378906,158.0500030517578,216.09439086914062,105.61608123779297,58.70904541015625,296.5882263183594,232.5492706298828,13.777027130126953,67.05948638916016
2021-04-05,122.62604522705078,491.6199951171875,161.3365020751953,217.6455535888672,110.03852081298828,60.518978118896484,306.76715087890625,238.99749755859375,13.9523344039917,69.25404357910156
2021-04-06,122.9279556274414,491.3399963378906,161.1909942626953,218.43594360351562,109.55750274658203,59.62764358520508,304.1355285644531,237.8364715576172,13.82664966583252,69.36610412597656
2021-04-07,124.57401275634766,493.4100036621094,163.96949768066406,218.1395263671875,111.03380584716797,60.255210876464844,310.9181213378906,239.79391479492188,14.10794448852539,69.46927642822266
2021-04-08,126.97002410888672,499.8399963378906,164.96499633789062,221.75559997558594,111.59913635253906,60.98282241821289,310.8486328125,243.0084228515625,14.281005859375,70.60411834716797
2021-04-09,129.54139709472656,504.0400085449219,168.61000061035156,228.5036163330078,112.60284423828125,62.08332824707031,310.29248046875,245.50332641601562,14.36379623413086,70.88549041748047
2021-04-12,127.82720184326172,506.0299987792969,168.96949768066406,226.01385498046875,111.3110122680664,59.49123001098633,309.3788757324219,245.5609130859375,15.170761108398438,71.39192962646484
2021-04-13,130.93423461914062,514.8599853515625,170.0,229.21498107910156,111.79749298095703,59.318416595458984,307.61126708984375,248.0365447998047,15.6400785446167,71.90778350830078
2021-04-14,128.59666442871094,510.6300048828125,166.64999389648438,225.28274536132812,111.17662811279297,58.38161849975586,300.7193603515625,245.2538299560547,15.238592147827148,72.0484619140625
2021-04-15,131.0023956298828,523.25,168.95449829101562,230.2029571533203,113.32586669921875,59.136512756347656,305.6846923828125,249.0057373046875,16.0966796875,73.42715454101562
2021-04-16,130.67123413085938,525.0800170898438,169.9720001220703,229.1260528564453,113.20188903808594,58.89094161987305,304.05609130859375,250.19552612304688,15.872495651245117,74.04615020751953
2021-04-19,131.3335418701172,516.1699829101562,168.60049438476562,227.73300170898438,113.54952239990234,57.872291564941406,300.14337158203125,248.2764434814453,15.323128700256348,73.85858154296875
2021-04-20,129.6485595703125,514.2100219726562,166.7344970703125,225.22348022460938,113.01642608642578,57.026451110839844,300.5505676269531,247.8158416748047,15.13310718536377,74.31816101074219
2021-04-21,130.0283966064453,512.3400268554688,168.1009979248047,227.79226684570312,112.98368835449219,57.935951232910156,299.37872314453125,250.04205322265625,15.321881294250488,71.89840698242188
2021-04-22,128.5089569091797,507.2900085449219,165.45199584960938,228.57278442382812,111.7027816772461,56.908206939697266,294.46307373046875,246.7699737548828,14.81291389465332,70.21958923339844
2021-04-23,130.8271026611328,515.8400268554688,167.04400634765625,230.7068634033203,114.05384063720703,53.8795280456543,299.04107666015625,250.58897399902344,15.226872444152832,70.31336975097656
2021-04-26,131.21669006347656,515.7000122070312,170.4499969482422,232.63343811035156,114.54974365234375,53.442962646484375,300.9378356933594,250.97276306152344,15.439085006713867,69.87257385253906
2021-04-27,130.895263671875,517.3200073242188,170.8715057373047,231.39846801757812,113.6100082397461,52.72445297241211,301.46417236328125,251.3758087158203,15.343079566955566,70.54785919189453
2021-04-28,130.10635375976562,515.47998046875,172.9250030517578,234.03640747070312,116.9851303100586,52.4061164855957,304.96966552734375,244.26548767089844,15.238341331481934,70.12577819824219
2021-04-29,130.0089569091797,516.0900268554688,173.5655059814453,231.54664611816406,118.65730285644531,53.00639724731445,327.2242431640625,242.29837036132812,15.286221504211426,71.157470703125
2021-04-30,128.04144287109375,508.3399963378906,173.37100219726562,227.55516052246094,116.71039581298828,52.32426834106445,322.8249816894531,241.98171997070312,14.97176456451416,71.08243560791016
2021-05-03,129.0933380126953,503.4599914550781,169.32449340820312,221.07388305664062,116.19365692138672,52.07869338989258,320.3423156738281,241.6746826171875,14.799449920654297,72.52679443359375
2021-05-04,124.52532958984375,490.70001220703125,165.593505859375,214.57289123535156,114.39602661132812,51.75127410888672,316.1515808105469,237.7692413330078,14.315171241760254,73.6522445678711
2021-05-05,124.76883697509766,486.69000244140625,163.52699279785156,212.8142547607422,114.7897720336914,51.70579528808594,312.83477783203125,236.50262451171875,14.422149658203125,74.27127075195312
2021-05-06,126.36619567871094,483.6099853515625,165.31849670410156,215.43246459960938,115.90950775146484,52.335391998291016,317.8000183105469,239.63079833984375,14.486488342285156,74.78707885742188
2021-05-07,127.03941345214844,488.7300109863281,164.58050537109375,213.90106201171875,116.63253784179688,52.774654388427734,316.8666076660156,242.25045776367188,14.775009155273438,75.40609741210938
2021-05-10,123.76119232177734,479.3800048828125,159.52450561523438,211.32237243652344,113.64820098876953,51.218955993652344,303.8475036621094,237.1839141845703,14.22988510131836,75.17162322998047
2021-05-11,122.84408569335938,485.19000244140625,161.19549560546875,212.9723358154297,112.57258605957031,50.367897033691406,304.40362548828125,236.27236938476562,14.270283699035645,72.86444091796875
2021-05-12,119.78054809570312,472.0899963378906,157.5970001220703,208.01258850097656,109.11070251464844,49.06843566894531,300.4512634277344,229.33474731445312,13.723910331726074,71.98281860351562
